;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
0;7909383544;1805;1724365731;8737621;Lava Esports ;9248240;TeamWaska;16709;RES - Regional Series LATAM #4;900035;1;18;35;False;21
1;7909367315;2275;1724364518;8957156;Silent killer;8849850;HELLBEAR HEROES;16635;Dota 2 Space League;900030;1;30;28;True;21
2;7909343508;2244;1724363401;8728920;nouns;8291895;Tundra Esports;16846;FISSURE Universe: Episode 3;816359;1;12;29;False;21
3;7909326051;2018;1724361728;8849850;HELLBEAR HEROES;8957156;Silent killer;16635;Dota 2 Space League;900030;1;24;37;False;21
4;7909301434;1627;1724360755;9512146;;9443831;Dominion;15901;Ultras Dota Pro League  2023-24;900026;1;17;46;False;21
5;7909301283;2262;1724360218;9302841;South Team;9081369;Infamous Gaming;15899;EPL World Series: America 2023-2024 Season ;900020;1;21;33;False;21
6;7909290547;2925;1724359610;9450071;Fusion Esports;8702318;Qhali;16709;RES - Regional Series LATAM #4;900011;1;30;28;True;21
7;7909279413;1667;1724359056;8849990;REAL ECLIPSE;8850016;FLYING FORTUNE;16635;Dota 2 Space League;900003;1;16;25;False;21
8;7909275659;2779;1724358805;8291895;Tundra Esports;8728920;nouns;16846;FISSURE Universe: Episode 3;816359;1;37;24;True;21
9;7909241151;1570;1724357069;9081369;Infamous Gaming;9302841;South Team;15899;EPL World Series: America 2023-2024 Season ;900020;1;37;10;True;21
10;7909223216;2204;1724356192;9443831;Dominion;9476660;Prodigy of God;15901;Ultras Dota Pro League  2023-24;900015;1;70;44;True;21
11;7909216047;2253;1724355857;8850016;FLYING FORTUNE;8849990;REAL ECLIPSE;16635;Dota 2 Space League;900003;1;33;28;True;21
12;7909193468;2438;1724355061;8702318;Qhali;9450071;Fusion Esports;16709;RES - Regional Series LATAM #4;900011;1;15;29;False;21
13;7909186596;1781;1724355059;8728920;nouns;8291895;Tundra Esports;16846;FISSURE Universe: Episode 3;816359;1;41;6;True;21
14;7909161183;1766;1724353432;8849990;REAL ECLIPSE;8850016;FLYING FORTUNE;16635;Dota 2 Space League;900003;1;38;19;True;21
15;7909113213;1473;1724351342;8255888;BB Team;8599101;Gaimin Gladiators;16846;FISSURE Universe: Episode 3;899953;1;25;5;True;21
16;7909103420;2558;1724350809;9476660;Prodigy of God;9494256;Dominion;15901;Ultras Dota Pro League  2023-24;899995;1;59;46;True;21
17;7909073125;1787;1724349462;8406842;GRIN Esports;8702318;Qhali;15899;EPL World Series: America 2023-2024 Season ;899957;1;41;19;True;21
18;7909072590;2804;1724349437;9324110;Gods of Hell;9407491;Universitario eSports ;16709;RES - Regional Series LATAM #4;899962;1;44;34;True;21
19;7909018437;2161;1724347412;8255888;BB Team;8599101;Gaimin Gladiators;16846;FISSURE Universe: Episode 3;899953;1;15;30;False;21
20;7908993176;2177;1724346003;9088071;EYE Gaming;9440022;Elite Eclipse;15901;Ultras Dota Pro League  2023-24;899963;1;56;30;True;21
